from_zone_id,to_zone_id,K,node_sequence,estimate_path_proportion,estimate_path_flow,target_proportion
1,4,1,"[4, 3, 1]",1.0,24.12326,0.975
1,10,1,"[10, 9, 5, 4, 3, 1]",0.49911278,24.488918,0.525
1,10,2,"[10, 11, 12, 3, 1]",0.50088716,24.575977,0.475
1,14,1,"[14, 11, 4, 3, 1]",0.47558334,21.066519,0.5
1,14,2,"[14, 11, 12, 3, 1]",0.52441657,23.229643,0.5
1,19,1,"[19, 17, 16, 8, 6, 2, 1]",0.09284135,2.3009467,0.087
1,19,2,"[19, 17, 16, 10, 11, 12, 3, 1]",0.14549741,3.6059558,0.154
1,19,3,"[19, 17, 10, 11, 12, 3, 1]",0.12463243,3.0888455,0.127
1,19,4,"[19, 17, 16, 8, 6, 5, 4, 3, 1]",0.09972474,2.4715421,0.096
1,19,5,"[19, 17, 16, 8, 9, 5, 4, 3, 1]",0.09822998,2.4344966,0.094
1,19,6,"[19, 17, 16, 10, 9, 5, 4, 3, 1]",0.08528054,2.1135623,0.079
1,19,7,"[19, 17, 10, 9, 5, 4, 3, 1]",0.07305092,1.810468,0.065
1,19,8,"[19, 15, 14, 11, 4, 3, 1]",0.13500081,3.3458116,0.14
1,19,9,"[19, 15, 14, 11, 12, 3, 1]",0.14574178,3.612012,0.154
2,4,1,"[4, 5, 6, 2]",1.0,22.681374,0.99
2,10,1,"[10, 9, 5, 6, 2]",0.30391532,16.442179,0.315
2,10,2,"[10, 9, 8, 6, 2]",0.302403,16.360361,0.315
2,10,3,"[10, 16, 8, 6, 2]",0.39368162,21.298641,0.365
2,14,1,"[14, 11, 4, 5, 6, 2]",0.2675883,2.1927032,0.275
2,14,2,"[14, 11, 10, 16, 8, 6, 2]",0.26536527,2.174487,0.25
2,14,3,"[14, 15, 10, 16, 8, 6, 2]",0.26448122,2.167243,0.25
2,14,4,"[14, 15, 19, 17, 16, 8, 6, 2]",0.20256521,1.6598835,0.225
2,19,1,"[19, 17, 16, 8, 6, 2]",1.0,47.205654,0.955
12,4,1,"[4, 3, 12]",0.52655375,15.979003,0.5
12,4,2,"[4, 11, 12]",0.4734462,14.367381,0.5
12,10,1,"[10, 11, 12]",1.0,20.605572,0.95
12,14,1,"[14, 11, 12]",1.0,40.37079,0.975
12,19,1,"[19, 15, 14, 11, 12]",0.35317165,15.572401,0.33
12,19,2,"[19, 17, 10, 11, 12]",0.29424417,12.974112,0.33
12,19,3,"[19, 17, 16, 10, 11, 12]",0.3525842,15.546499,0.33
13,4,1,"[4, 3, 12, 13]",0.3704778,4.5556593,0.34
13,4,2,"[4, 11, 14, 23, 24, 13]",0.27590516,3.392727,0.33
13,4,3,"[4, 11, 12, 13]",0.353617,4.348327,0.33
13,10,1,"[10, 11, 12, 13]",0.21239857,0.0475398,0.2
13,10,2,"[10, 11, 14, 23, 24, 13]",0.19940221,0.04463091,0.2
13,10,3,"[10, 15, 14, 23, 24, 13]",0.196936,0.044078913,0.2
13,10,4,"[10, 15, 22, 23, 24, 13]",0.19726065,0.044151578,0.2
13,10,5,"[10, 15, 22, 21, 24, 13]",0.19400261,0.043422353,0.2
13,14,1,"[14, 23, 24, 13]",1.0,8.392788,1.0
13,19,1,"[19, 15, 14, 23, 24, 13]",0.24242856,3.38154,0.25
13,19,2,"[19, 15, 22, 23, 24, 13]",0.24283265,3.3871765,0.25
13,19,3,"[19, 15, 22, 21, 24, 13]",0.20870943,2.9112053,0.25
13,19,4,"[19, 20, 21, 24, 13]",0.3060293,4.2686815,0.25
18,4,1,"[4, 5, 6, 8, 7, 18]",0.16836832,11.987148,0.17
18,4,2,"[4, 5, 6, 8, 16, 18]",0.16747066,11.923239,0.17
18,4,3,"[4, 5, 9, 8, 7, 18]",0.16579951,11.804259,0.16
18,4,4,"[4, 5, 9, 8, 16, 18]",0.16491556,11.741325,0.16
18,4,5,"[4, 5, 9, 10, 16, 18]",0.1668481,11.878914,0.17
18,4,6,"[4, 11, 10, 16, 18]",0.16659787,11.861099,0.17
18,10,1,"[10, 16, 18]",1.0,18.021345,1.0
18,14,1,"[14, 11, 10, 16, 18]",0.35996023,5.92872,0.33
18,14,2,"[14, 15, 10, 16, 18]",0.35876068,5.9089627,0.33
18,14,3,"[14, 15, 19, 17, 16, 18]",0.28127906,4.6328025,0.33
18,19,1,"[19, 17, 16, 18]",0.45914075,8.708037,0.5
18,19,2,"[19, 20, 18]",0.5408593,10.257907,0.5
20,4,1,"[4, 5, 6, 8, 16, 17, 19, 20]",0.054116257,0.20291932,0.06
20,4,2,"[4, 5, 9, 8, 16, 17, 19, 20]",0.054534417,0.2044873,0.05
20,4,3,"[4, 5, 9, 10, 16, 17, 19, 20]",0.055811025,0.20927417,0.06
20,4,4,"[4, 5, 9, 10, 17, 19, 20]",0.05667821,0.21252586,0.06
20,4,5,"[4, 5, 9, 10, 15, 19, 20]",0.05700212,0.21374042,0.06
20,4,6,"[4, 5, 9, 10, 15, 22, 20]",0.057558868,0.21582805,0.06
20,4,7,"[4, 5, 9, 10, 15, 22, 21, 20]",0.055030387,0.20634702,0.06
20,4,8,"[4, 11, 10, 16, 17, 19, 20]",0.054773044,0.20538206,0.06
20,4,9,"[4, 11, 10, 17, 19, 20]",0.0556241,0.20857327,0.06
20,4,10,"[4, 11, 10, 15, 19, 20]",0.055941984,0.20976524,0.06
